# Voltage,Current
4.99474 0.00000
5.02600 253250.00000
5.05695 254819.00000
5.08735 256375.00000
5.11830 257927.00000
5.14940 259483.00000
5.17973 261030.00000
5.21052 262581.00000
5.24115 264137.00000
5.27218 265691.00000
5.30281 267261.00000
5.33384 268797.00000
5.36393 270347.00000
5.39535 271899.00000
5.42575 273450.00000
5.45662 274989.00000
5.48702 276542.00000
5.51805 278091.00000
5.54884 279646.00000
5.57885 281181.00000
5.60956 282728.00000
5.63981 284273.00000
5.67036 285801.00000
5.70147 287342.00000
5.73195 288892.00000
5.76164 290427.00000
5.79236 291949.00000
5.82307 293482.00000
5.85332 295021.00000
5.88333 296545.00000
5.91435 298083.00000
5.94429 299618.00000
5.97461 301131.00000
6.00438 302652.00000
6.03479 304174.00000
6.06495 305701.00000
6.09520 307203.00000
6.12474 308735.00000
6.15483 310241.00000
6.18484 311749.00000
6.21438 313260.00000
6.24455 314764.00000
6.27393 316262.00000
6.30386 317750.00000
6.33364 319270.00000
6.36326 320763.00000
6.39280 322253.00000
6.42133 323745.00000
6.45165 325232.00000
6.48166 326717.00000
6.51057 328213.00000
6.53949 329684.00000
6.56856 331162.00000
6.59771 332619.00000
6.62702 334091.00000
6.65672 335563.00000
6.68524 337026.00000
6.71393 338481.00000
6.74261 339949.00000
6.77191 341391.00000
6.80060 342865.00000
6.82858 344305.00000
6.85734 345734.00000
6.88586 347175.00000
6.91431 348605.00000
6.94236 350044.00000
6.97073 351473.00000
6.99910 352889.00000
7.02716 354315.00000
7.05475 355726.00000
7.08312 357150.00000
7.11086 358553.00000
7.13821 359954.00000
7.16564 361351.00000
7.19354 362754.00000
7.22144 364142.00000
7.24856 365525.00000
7.27584 366909.00000
7.30335 368290.00000
7.33047 369669.00000
7.35719 371039.00000
7.38400 372385.00000
7.41135 373752.00000
7.43769 375115.00000
7.46434 376457.00000
7.49091 377799.00000
7.51764 379138.00000
7.54382 380485.00000
7.57063 381801.00000
7.59642 383127.00000
7.62260 384452.00000
7.64894 385769.00000
7.67434 387070.00000
7.70005 388376.00000
7.72552 389659.00000
7.75139 390968.00000
7.77632 392259.00000
7.80188 393533.00000
7.82736 394815.00000
7.85166 396087.00000
7.87737 397343.00000
7.90207 398626.00000
7.92684 399868.00000
